_id,_name,_industry,_sector,_headquarters,_founded
3036,Sector3 Studios,Technology,Software,Lidk�ping,2003
3037,Securitas,Industrials,Business support services,Stockholm,1934
3038,Securitas Direct,Industrials,Business support services,Malm�,1988
3039,Semcon,Industrials,Business support services,Gothenburg,1980
3040,SF Studios,Consumer services,Broadcasting & entertainment,Stockholm,1919
3041,SIBA,Consumer services,Specialty retailers,Gothenburg,1951
3042,Silva compass,Consumer goods,Recreational products,Stockholm,1932
3043,Simogo,Technology,Software,Malm�,2010
3044,SJ AB,Consumer services,Travel & tourism,Stockholm,2001
3045,Skandia,Financials,Investment services,Stockholm,1855
3046,Skandinaviska Banken,Financials,Banks,Gothenburg,1864
3047,Skanska,Industrials,Heavy construction,Stockholm,1887
3048,Skellefte� Kraft,Utilities,Conventional electricity,Skellefte�,1906
3049,SKF,Industrials,Industrial suppliers,Gothenburg,1907
3050,Skygoblin,Technology,Software,Gothenburg,2005
3051,Smart Eye,Technology,Software,Gothenburg,1999
3052,S�dra,Basic materials,Paper,V�xj�,1938
3053,Specma,Industrial,Industrial Engineering,Gothenburg,1918
3054,Spendrups,Consumer goods,Brewers,Stockholm,1897
3055,Spotify,Technology,Internet,Stockholm,2006
3056,SR International � Radio Sweden,Consumer services,Broadcasting & entertainment,Stockholm,1938
3057,SSAB,Basic materials,Iron & steel,Stockholm,1978
3058,Starbreeze Studios,Technology,Software,Stockholm,1998
3059,Stena Line,Consumer services,Travel & tourism,Gothenburg,1962
3060,Stena Sphere,Conglomerates,-,Gothenburg,1939
3061,Stiga,Consumer goods,Durable household products,Eskilstuna,1934
3062,Stockholm Stock Exchange,Financials,Investment services,Stockholm,1863
3063,Stockholms Enskilda Bank,Financials,Banks,Stockholm,1856
3064,Studsvik,Utilities,Conventional electricity,Nyk�ping,1947
3065,Sveriges Television,Consumer services,Broadcasting & entertainment,Stockholm,1956
3066,Sweco,Industrials,Business support services,Stockholm,1997
3067,Swedbank (F�reningsSparbanken),Financials,Banks,Stockholm,1820
3068,Swedish Match,Consumer goods,Tobacco,Stockholm,1915
3069,Swedish Meats,Livestock,Meat,Stockholm,
3070,Swedish Orphan Biovitrum,Health care,Health care providers,Stockholm,2001
3071,Swedish Space Corporation,Industrials,Aerospace,Solna,1972
3072,Swegon,Industrials,Industrial machinery,Gothenburg,2005
3073,Symsoft,Telecommunications,Mobile telecommunications,Stockholm,1989
3074,Synergon,Industrials,Business support services,Stockholm,2003
3075,Syncron International AB,Technology,Software,Stockholm,1990
3076,Tarsier Studios,Technology,Software,Malm�,2004
3077,Tele2,Telecommunications,Fixed line telecommunications,Stockholm,1993
3078,Telelogic,Technology,Software,Malm�,1983
3079,Telia Company,Telecommunications,Mobile telecommunications,Stockholm,2003
3080,Teracom,Consumer services,Broadcasting & entertainment,Stockholm,1992
3081,TerraNet AB,Telecommunications,Mobile telecommunications,Lund,2004
3082,Tetra Pak,Industrials,Containers & packaging,Lund/Pully,1951
3083,Thule Group,Consumer goods,Automobiles,Hillerstorp,1942
3084,Tradedoubler,Technology,Internet,Stockholm,1999
3085,Transmode,Telecommunications,Fixed line telecommunications,Stockholm,2000
3086,Trelleborg,Industrials,Business support services,Trelleborg,1905
3087,Trio AB,Telecommunications,Fixed line telecommunications,Stockholm,1992
3088,Truecaller,Technology,Software,Stockholm,2009
3089,Trustly,Financials,Banks,Stockholm,2008
3090,TV4 Group,Consumer services,Broadcasting & entertainment,Stockholm,1984
3091,Uddeholms AB,Basic materials,Iron & steel,Hagfors,1668
3092,Ume� Energi,Utilities,Conventional electricity,Ume�,1887
3093,Urbanears,Consumer goods,Recreational products,Stockholm,2009
3094,V&S Group,Consumer goods,Soft drinks,Stockholm,1917
3095,Vabis,Industrials,Diversified industrials,S�dert�lje,1891
3096,Vattenfall,Utilities,Conventional electricity,Stockholm,1909
3097,Vida AB,Basic materials,Forestry,Alvesta,1969[15]
